hash,G,H
81cc188935894aa61d82b5b99a7b674243e2a8dea1c4cdb39a4d62eb8be10549,"(186771221523309235074185319396082256716923192868096103545176460178562776468700707516831070143047598126279906170848, 3157211980499345191109595788971116900250964223876798652775362936421856784476787538911153513337297597121545367683327)","(1558003074109690618002868384015849604229754803519346769781911524385242815689405188585983951308609363843354037409255, 1286019476820822662837387296627574017887899388214260809162022213432501303215663344977739699812097861216371930410956)"
6269342e5ddc7bbbf03a78e04aa26d620f727f788053f9c7217e7899268a05ed,"(891740928308248696731790740887713084113085338603415777561541843152574284054071511222324228903720190647633975084170, 3874954209366533035635732782282692412012136603523531350852048295616975838488265956048358921732371678576065999542111)","(2099929320641491956322261971225635238014846208031114515078623874741300271023035032548029251941561604912623481238190, 1985602066967938317361523782074117952977892650381138934806698124566075540183942373922103006222145576502084926214145)"
48a1051a523bb6dd13085f40cbd634fb49f671dab96663b060578f71e86d8fd0,"(891740928308248696731790740887713084113085338603415777561541843152574284054071511222324228903720190647633975084170, 3874954209366533035635732782282692412012136603523531350852048295616975838488265956048358921732371678576065999542111)","(2287958971066237979706345174000450252435372433093181460229887355192945601205219889390016250332850362358183989442932, 2026469740374421091523172981197401871447382502285336583976983826216371480030848686837513052362237624478130288761603)"
6269342e5ddc7bbbf03a78e04aa26d620f727f788053f9c7217e7899268a05ed,"(891740928308248696731790740887713084113085338603415777561541843152574284054071511222324228903720190647633975084170, 3874954209366533035635732782282692412012136603523531350852048295616975838488265956048358921732371678576065999542111)","(2099929320641491956322261971225635238014846208031114515078623874741300271023035032548029251941561604912623481238190, 1985602066967938317361523782074117952977892650381138934806698124566075540183942373922103006222145576502084926214145)"
1a01d490b2d6122855139374dfba031b656b461d9c43a8061aa040d4691922db,"(1386537884981109597162880692576649118170704632624183795315390185630401775712679287670546791092946828524417669748520, 1909656926314173393234957084376021227376515945693301464792804272074735366261492802208178534400748128519300459434689)","(3186472005081958892345225483705406686139255418554868096156450099091904690384792453228652889456890960738733210065875, 1288164624891714597136157352905752505678263015227613180983160216562421680072521522053287966423700575562714440520940)"
1a01d490b2d6122855139374dfba031b656b461d9c43a8061aa040d4691922db,"(1386537884981109597162880692576649118170704632624183795315390185630401775712679287670546791092946828524417669748520, 1909656926314173393234957084376021227376515945693301464792804272074735366261492802208178534400748128519300459434689)","(3186472005081958892345225483705406686139255418554868096156450099091904690384792453228652889456890960738733210065875, 1288164624891714597136157352905752505678263015227613180983160216562421680072521522053287966423700575562714440520940)"
48a1051a523bb6dd13085f40cbd634fb49f671dab96663b060578f71e86d8fd0,"(891740928308248696731790740887713084113085338603415777561541843152574284054071511222324228903720190647633975084170, 3874954209366533035635732782282692412012136603523531350852048295616975838488265956048358921732371678576065999542111)","(2287958971066237979706345174000450252435372433093181460229887355192945601205219889390016250332850362358183989442932, 2026469740374421091523172981197401871447382502285336583976983826216371480030848686837513052362237624478130288761603)"
48a1051a523bb6dd13085f40cbd634fb49f671dab96663b060578f71e86d8fd0,"(891740928308248696731790740887713084113085338603415777561541843152574284054071511222324228903720190647633975084170, 3874954209366533035635732782282692412012136603523531350852048295616975838488265956048358921732371678576065999542111)","(2287958971066237979706345174000450252435372433093181460229887355192945601205219889390016250332850362358183989442932, 2026469740374421091523172981197401871447382502285336583976983826216371480030848686837513052362237624478130288761603)"
1a01d490b2d6122855139374dfba031b656b461d9c43a8061aa040d4691922db,"(1386537884981109597162880692576649118170704632624183795315390185630401775712679287670546791092946828524417669748520, 1909656926314173393234957084376021227376515945693301464792804272074735366261492802208178534400748128519300459434689)","(3186472005081958892345225483705406686139255418554868096156450099091904690384792453228652889456890960738733210065875, 1288164624891714597136157352905752505678263015227613180983160216562421680072521522053287966423700575562714440520940)"
48a1051a523bb6dd13085f40cbd634fb49f671dab96663b060578f71e86d8fd0,"(891740928308248696731790740887713084113085338603415777561541843152574284054071511222324228903720190647633975084170, 3874954209366533035635732782282692412012136603523531350852048295616975838488265956048358921732371678576065999542111)","(2287958971066237979706345174000450252435372433093181460229887355192945601205219889390016250332850362358183989442932, 2026469740374421091523172981197401871447382502285336583976983826216371480030848686837513052362237624478130288761603)"
